CODDPT;CODCAN;CODSUBCOM;CODBURVOT;NBRINS;NBREXP;%ABS/INS;%BLCNUL/VOT;%EXP/VOT;BC-DLF;BC-DVD;BC-DVG;BC-FG;BC-FN;BC-SOC;BC-UC;BC-UD;BC-UDI;BC-UG;BC-UMP
18;1;67;0001;565;307;0.4424778761061947;0.025396825396825397;0.9746031746031746;0.0;0.0;0.0;0.048859934853420196;0.4169381107491857;0.1270358306188925;0.0;0.40716612377850164;0.0;0.0;0.0
18;1;88;0001;175;117;0.3142857142857143;0.025;0.975;0.0;0.0;0.0;0.06837606837606838;0.3418803418803419;0.09401709401709402;0.0;0.49572649572649574;0.0;0.0;0.0
18;1;115;0001;627;279;0.529505582137161;0.05423728813559322;0.9457627118644067;0.0;0.0;0.0;0.17204301075268819;0.3225806451612903;0.06451612903225806;0.0;0.44086021505376344;0.0;0.0;0.0
18;1;147;0001;205;109;0.44390243902439025;0.043859649122807015;0.956140350877193;0.0;0.0;0.0;0.09174311926605505;0.3853211009174312;0.07339449541284404;0.0;0.44954128440366975;0.0;0.0;0.0
18;1;149;0001;479;237;0.4801670146137787;0.04819277108433735;0.9518072289156626;0.0;0.0;0.0;0.16877637130801687;0.24472573839662448;0.16455696202531644;0.0;0.4219409282700422;0.0;0.0;0.0
18;1;159;0001;713;375;0.45722300140252453;0.031007751937984496;0.9689922480620154;0.0;0.0;0.0;0.10133333333333333;0.328;0.14933333333333335;0.0;0.42133333333333334;0.0;0.0;0.0
18;1;165;0001;1014;490;0.480276134122288;0.07020872865275142;0.9297912713472486;0.0;0.0;0.0;0.16938775510204082;0.4;0.10204081632653061;0.0;0.32857142857142857;0.0;0.0;0.0
18;1;170;0001;584;310;0.4554794520547945;0.025157232704402517;0.9748427672955975;0.0;0.0;0.0;0.054838709677419356;0.3741935483870968;0.11290322580645161;0.0;0.45806451612903226;0.0;0.0;0.0
18;1;185;0001;207;111;0.4396135265700483;0.04310344827586207;0.9568965517241379;0.0;0.0;0.0;0.08108108108108109;0.44144144144144143;0.13513513513513514;0.0;0.34234234234234234;0.0;0.0;0.0
18;1;227;0001;204;115;0.4166666666666667;0.03361344537815126;0.9663865546218487;0.0;0.0;0.0;0.008695652173913044;0.2608695652173913;0.12173913043478261;0.0;0.6086956521739131;0.0;0.0;0.0
18;2;12;0001;352;162;0.5198863636363636;0.04142011834319527;0.9585798816568047;0.0;0.0;0.14814814814814814;0.0;0.37037037037037035;0.2962962962962963;0.0;0.18518518518518517;0.0;0.0;0.0
18;2;18;0001;1397;681;0.4881889763779528;0.04755244755244755;0.9524475524475524;0.0;0.0;0.06167400881057269;0.0;0.3656387665198238;0.3392070484581498;0.0;0.23348017621145375;0.0;0.0;0.0
18;2;23;0001;1019;612;0.38959764474975467;0.01607717041800643;0.9839228295819936;0.0;0.0;0.03431372549019608;0.0;0.21568627450980393;0.3366013071895425;0.0;0.4133986928104575;0.0;0.0;0.0
18;2;25;0001;522;254;0.4942528735632184;0.03787878787878788;0.9621212121212122;0.0;0.0;0.3937007874015748;0.0;0.35039370078740156;0.1377952755905512;0.0;0.11811023622047244;0.0;0.0;0.0
18;2;27;0001;455;274;0.37142857142857144;0.04195804195804196;0.958041958041958;0.0;0.0;0.19343065693430658;0.0;0.33941605839416056;0.291970802919708;0.0;0.17518248175182483;0.0;0.0;0.0
18;2;49;0001;375;227;0.37333333333333335;0.03404255319148936;0.9659574468085106;0.0;0.0;0.18061674008810572;0.0;0.3832599118942731;0.1762114537444934;0.0;0.2599118942731278;0.0;0.0;0.0
18;2;53;0001;257;123;0.5019455252918288;0.0390625;0.9609375;0.0;0.0;0.10569105691056911;0.0;0.25203252032520324;0.2601626016260163;0.0;0.3821138211382114;0.0;0.0;0.0
18;2;56;0001;216;116;0.44907407407407407;0.025210084033613446;0.9747899159663865;0.0;0.0;0.12931034482758622;0.0;0.3706896551724138;0.3706896551724138;0.0;0.12931034482758622;0.0;0.0;0.0
18;2;61;0001;85;39;0.5058823529411764;0.07142857142857142;0.9285714285714286;0.0;0.0;0.1282051282051282;0.0;0.23076923076923078;0.41025641025641024;0.0;0.23076923076923078;0.0;0.0;0.0
18;2;77;0001;261;150;0.4061302681992337;0.03225806451612903;0.967741935483871;0.0;0.0;0.07333333333333333;0.0;0.3333333333333333;0.3933333333333333;0.0;0.2;0.0;0.0;0.0
18;2;81;0001;273;143;0.4542124542124542;0.040268456375838924;0.959731543624161;0.0;0.0;0.11888111888111888;0.0;0.40559440559440557;0.25874125874125875;0.0;0.21678321678321677;0.0;0.0;0.0
18;2;90;0001;324;148;0.4783950617283951;0.1242603550295858;0.8757396449704142;0.0;0.0;0.06756756756756757;0.0;0.31756756756756754;0.28378378378378377;0.0;0.3310810810810811;0.0;0.0;0.0
18;2;92;0001;651;332;0.4685099846390169;0.04046242774566474;0.9595375722543352;0.0;0.0;0.030120481927710843;0.0;0.2680722891566265;0.4367469879518072;0.0;0.26506024096385544;0.0;0.0;0.0
18;2;99;0001;176;88;0.44886363636363635;0.09278350515463918;0.9072164948453608;0.0;0.0;0.03409090909090909;0.0;0.3068181818181818;0.23863636363636365;0.0;0.42045454545454547;0.0;0.0;0.0
18;2;104;0001;121;55;0.5041322314049587;0.08333333333333333;0.9166666666666666;0.0;0.0;0.07272727272727272;0.0;0.4;0.14545454545454545;0.0;0.38181818181818183;0.0;0.0;0.0
18;2;105;0001;265;143;0.44528301886792454;0.027210884353741496;0.9727891156462585;0.0;0.0;0.09090909090909091;0.0;0.3776223776223776;0.20279720279720279;0.0;0.32867132867132864;0.0;0.0;0.0
18;2;105;0002;90;64;0.23333333333333334;0.07246376811594203;0.927536231884058;0.0;0.0;0.078125;0.0;0.234375;0.265625;0.0;0.421875;0.0;0.0;0.0
18;2;110;0001;772;376;0.49352331606217614;0.03836317135549872;0.9616368286445013;0.0;0.0;0.14893617021276595;0.0;0.3324468085106383;0.23138297872340424;0.0;0.2872340425531915;0.0;0.0;0.0
18;2;119;0001;148;65;0.5472972972972973;0.029850746268656716;0.9701492537313433;0.0;0.0;0.1076923076923077;0.0;0.3384615384615385;0.3384615384615385;0.0;0.2153846153846154;0.0;0.0;0.0
