Code du département;Code du canton;Inscrits;Exprimés;% Abs/Ins;%BLCNUL/VOT;% Exp/Vot;BC-COM;BC-DIV;BC-DLF;BC-DVD;BC-DVG;BC-EXD;BC-EXG;BC-FG;BC-FN;BC-MDM;BC-PG;BC-RDG;BC-SOC;BC-UC;BC-UD;BC-UDI;BC-UG;BC-UMP;BC-VEC
3;4;12229;6210;46.59;0.0491502067064768;95.08;0.0;0.0;0.0;0.0;0.1856682769726248;0.0;0.0;0.0;0.1885668276972625;0.0;0.0;0.0;0.0;0.0;0.4336553945249597;0.0;0.192109500805153;0.0;0.0
3;5;15838;8115;45.88;0.0533131124591693;94.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2034504004929143;0.0;0.0;0.0;0.0;0.0;0.3100431300061614;0.0;0.4865064695009242;0.0;0.0
3;6;15311;8560;41.39;0.0461332739023846;95.39;0.0;0.0;0.0;0.4896028037383177;0.0;0.0;0.0;0.0;0.190303738317757;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3200934579439252;0.0;0.0
3;7;12769;6645;43.97;0.0711490075482247;92.89;0.3393528969149736;0.0;0.0;0.2579382994732881;0.0;0.0;0.0;0.0;0.2677200902934537;0.0;0.0;0.0;0.1349887133182844;0.0;0.0;0.0;0.0;0.0;0.0
3;8;14237;7606;43.21;0.0592455163883735;94.08;0.0;0.0;0.0;0.3555088088351301;0.0;0.0;0.0;0.0;0.2519063896923481;0.0;0.0;0.3925848014725216;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;9;12498;6238;47.89;0.0422232458160601;95.78;0.0;0.0;0.0;0.2646681628727156;0.0;0.0;0.0;0.1306508496312921;0.2095222827829432;0.0;0.0;0.0;0.395158704713049;0.0;0.0;0.0;0.0;0.0;0.0
3;10;12167;5338;53.97;0.0469559007320121;95.3;0.0;0.0;0.0;0.3675533907830648;0.0;0.0;0.0;0.2633945297864368;0.2152491569876358;0.0;0.0;0.0;0.1538029224428625;0.0;0.0;0.0;0.0;0.0;0.0
3;11;14864;7166;48.82;0.0580967402733964;94.19;0.0;0.1755512140664248;0.0;0.4312029025955903;0.0;0.0;0.0;0.2119732068099358;0.1812726765280491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;12;11047;5067;51.33;0.0576529663381067;94.23;0.1286757450167752;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2013025458851391;0.0;0.0;0.0;0.3935267416617328;0.0;0.0;0.0;0.0;0.2764949674363529;0.0
3;13;12850;6384;47.7;0.0501413480136884;94.99;0.0;0.0;0.0;0.3441416040100251;0.0;0.0;0.0;0.0905388471177944;0.1992481203007518;0.0;0.0;0.0;0.3660714285714285;0.0;0.0;0.0;0.0;0.0;0.0
