CODDPT;CODCAN;CODSUBCOM;CODBURVOT;BC-FG;BC-FN;BC-SOC;BC-UD;BC-UDI;BC-UG
18;2;81;0001;0.0;0.363013698630137;0.3698630136986301;0.2671232876712329;0.0;0.0
18;2;90;0001;0.0;0.287292817679558;0.3149171270718232;0.39779005524861877;0.0;0.0
18;2;92;0001;0.0;0.2222222222222222;0.4583333333333333;0.3194444444444444;0.0;0.0
18;2;99;0001;0.0;0.27956989247311825;0.2903225806451613;0.43010752688172044;0.0;0.0
18;2;104;0001;0.0;0.3888888888888889;0.18055555555555555;0.4305555555555556;0.0;0.0
18;2;105;0001;0.0;0.3472222222222222;0.2777777777777778;0.375;0.0;0.0
18;2;105;0002;0.0;0.3148148148148148;0.3333333333333333;0.35185185185185186;0.0;0.0
18;2;110;0001;0.0;0.33170731707317075;0.3195121951219512;0.348780487804878;0.0;0.0
18;2;119;0001;0.0;0.2608695652173913;0.42028985507246375;0.3188405797101449;0.0;0.0
18;2;120;0001;0.0;0.40804597701149425;0.3620689655172414;0.22988505747126436;0.0;0.0
18;2;120;0002;0.0;0.4479166666666667;0.3229166666666667;0.22916666666666666;0.0;0.0
18;2;123;0001;0.0;0.125;0.21875;0.65625;0.0;0.0
18;2;132;0001;0.0;0.20930232558139536;0.19767441860465115;0.5930232558139535;0.0;0.0
18;2;139;0001;0.0;0.4139194139194139;0.46886446886446886;0.11721611721611722;0.0;0.0
18;2;158;0001;0.0;0.25555555555555554;0.36666666666666664;0.37777777777777777;0.0;0.0
18;2;166;0001;0.0;0.1761904761904762;0.3047619047619048;0.5190476190476191;0.0;0.0
18;2;174;0001;0.0;0.30337078651685395;0.43820224719101125;0.25842696629213485;0.0;0.0
18;2;184;0001;0.0;0.33043478260869563;0.40869565217391307;0.2608695652173913;0.0;0.0
18;2;220;0001;0.0;0.46060606060606063;0.3878787878787879;0.15151515151515152;0.0;0.0
18;2;224;0001;0.0;0.2835820895522388;0.4253731343283582;0.291044776119403;0.0;0.0
18;2;239;0001;0.0;0.2839506172839506;0.38271604938271603;0.3333333333333333;0.0;0.0
18;2;240;0001;0.0;0.30666666666666664;0.37666666666666665;0.31666666666666665;0.0;0.0
18;2;247;0001;0.0;0.30357142857142855;0.3892857142857143;0.30714285714285716;0.0;0.0
18;2;251;0001;0.0;0.12121212121212122;0.2727272727272727;0.6060606060606061;0.0;0.0
18;2;282;0001;0.0;0.23255813953488372;0.47674418604651164;0.29069767441860467;0.0;0.0
18;2;286;0001;0.0;0.21888412017167383;0.5321888412017167;0.24892703862660945;0.0;0.0
18;2;289;0001;0.0;0.296137339055794;0.4034334763948498;0.30042918454935624;0.0;0.0
18;3;33;0020;0.0;0.0;0.6050955414012739;0.39490445859872614;0.0;0.0
18;3;33;0021;0.0;0.0;0.506578947368421;0.4934210526315789;0.0;0.0
18;3;33;0022;0.0;0.0;0.6511627906976745;0.3488372093023256;0.0;0.0
18;3;33;0023;0.0;0.0;0.6677740863787376;0.33222591362126247;0.0;0.0
18;3;33;0024;0.0;0.0;0.6053412462908012;0.39465875370919884;0.0;0.0
18;3;33;0025;0.0;0.0;0.46745562130177515;0.5325443786982249;0.0;0.0
18;3;33;0026;0.0;0.0;0.504885993485342;0.495114006514658;0.0;0.0
18;3;33;0027;0.0;0.0;0.4383561643835616;0.5616438356164384;0.0;0.0
18;3;33;0028;0.0;0.0;0.6122448979591837;0.3877551020408163;0.0;0.0
18;3;33;0029;0.0;0.0;0.6207951070336392;0.37920489296636084;0.0;0.0
18;3;33;0030;0.0;0.0;0.5353846153846153;0.4646153846153846;0.0;0.0
18;3;33;0031;0.0;0.0;0.42946708463949845;0.5705329153605015;0.0;0.0
18;3;33;0032;0.0;0.0;0.458041958041958;0.541958041958042;0.0;0.0
18;3;33;0033;0.0;0.0;0.4959016393442623;0.5040983606557377;0.0;0.0
18;3;33;0037;0.0;0.0;0.4864864864864865;0.5135135135135135;0.0;0.0
18;3;33;0038;0.0;0.0;0.5212464589235127;0.47875354107648727;0.0;0.0
18;3;33;0039;0.0;0.0;0.5645161290322581;0.43548387096774194;0.0;0.0
18;4;33;0042;0.0;0.0;0.6125;0.3875;0.0;0.0
18;4;33;0043;0.0;0.0;0.6432432432432432;0.3567567567567568;0.0;0.0
18;4;33;0044;0.0;0.0;0.5335689045936396;0.4664310954063604;0.0;0.0
18;4;33;0045;0.0;0.0;0.6730769230769231;0.3269230769230769;0.0;0.0
18;4;33;0046;0.0;0.0;0.5;0.5;0.0;0.0
18;4;33;0047;0.0;0.0;0.4666666666666667;0.5333333333333333;0.0;0.0
18;4;33;0048;0.0;0.0;0.4381625441696113;0.5618374558303887;0.0;0.0
18;4;33;0049;0.0;0.0;0.5070422535211268;0.49295774647887325;0.0;0.0
18;4;33;0050;0.0;0.0;0.5641025641025641;0.4358974358974359;0.0;0.0
18;4;33;0059;0.0;0.0;0.5803108808290155;0.41968911917098445;0.0;0.0
18;4;33;0060;0.0;0.0;0.615;0.385;0.0;0.0
18;4;33;0061;0.0;0.0;0.44106463878326996;0.55893536121673;0.0;0.0
18;4;33;0062;0.0;0.0;0.5931558935361216;0.4068441064638783;0.0;0.0
18;4;33;0063;0.0;0.0;0.5762081784386617;0.42379182156133827;0.0;0.0
18;4;33;0064;0.0;0.0;0.6475409836065574;0.3524590163934426;0.0;0.0
18;5;33;0004;0.0;0.0;0.4887640449438202;0.5112359550561798;0.0;0.0
18;5;33;0005;0.0;0.0;0.48148148148148145;0.5185185185185185;0.0;0.0
18;5;33;0006;0.0;0.0;0.5451807228915663;0.45481927710843373;0.0;0.0
18;5;33;0007;0.0;0.0;0.5300751879699248;0.4699248120300752;0.0;0.0
18;5;33;0008;0.0;0.0;0.48484848484848486;0.5151515151515151;0.0;0.0
