Département;Code du Canton;Libellé du Canton;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Binôme_0;Nuance_0;Voix_0;%Voix/Exp_0;%Voix/Ins_0;Binôme_1;Nuance_1;Voix_1;%Voix/Exp_1;%Voix/Ins_1;Binôme_2;Nuance_2;Voix_2;%Voix/Exp_2;%Voix/Ins_2;Binôme_3;Nuance_3;Voix_3;%Voix/Exp_3;%Voix/Ins_3;Binôme_4;Nuance_4;Voix_4;%Voix/Exp_4;%Voix/Ins_4;Binôme_5;Nuance_5;Voix_5;%Voix/Exp_5;%Voix/Ins_5;Binôme_6;Nuance_6;Voix_6;%Voix/Exp_6;%Voix/Ins_6;Binôme_7;Nuance_7;Voix_7;%Voix/Exp_7;%Voix/Ins_7;Binôme_8;Nuance_8;Voix_8;%Voix/Exp_8;%Voix/Ins_8;Binôme_9;Nuance_9;Voix_9;%Voix/Exp_9;%Voix/Ins_9;Binôme_10;Nuance_10;Voix_10;%Voix/Exp_10;%Voix/Ins_10;Binôme_11;Nuance_11;Voix_11;%Voix/Exp_11;%Voix/Ins_11;Binôme_12;Nuance_12;Voix_12;%Voix/Exp_12;%Voix/Ins_12;Binôme_13;Nuance_13;Voix_13;%Voix/Exp_13;%Voix/Ins_13
53;16;Saint-Berthevin;12897;8259;4638;126;62;4450;M. Olivier RICHEFOU;BC-DVD;2682.0;60.27;20.8;M. Jean-Yves CORMIER;BC-DVG;1367.0;30.72;10.6;M. Kévin DAVY;BC-RN;401.0;9.01;3.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;17;Villaines-la-Juhel;12187;7752;4435;148;99;4188;Mme Christelle AUREGAN;BC-DVD;1891.0;45.15;15.52;Mme Fanny BEUTIER;BC-DVC;1298.0;30.99;10.65;Mme Soizic DI BIASE;BC-RN;544.0;12.99;4.46;M. Christian POINCHEVAL;BC-SOC;455.0;10.86;3.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;1;Baccarat;20837;13612;7225;266;177;6782;M. Michel MARCHAL;BC-UCD;3246.0;47.86;15.58;M. Lucien LEJAL;BC-RN;2339.0;34.49;11.23;M. Valentin BUZELIN;BC-UGE;1197.0;17.65;5.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;2;Entre Seille et Meurthe;21881;15141;6740;210;84;6446;Mme Catherine BOURSIER;BC-UGE;2863.0;44.42;13.08;Mme Cécile CHARTON;BC-RN;1820.0;28.23;8.32;M. Sébastien BISTON;BC-UCD;1763.0;27.35;8.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;3;Grand Couronné;25391;17424;7967;245;114;7608;M. Jean-Pierre DESSEIN;BC-UCD;2968.0;39.01;11.69;Mme Marie-Christine BASTIEN;BC-UGE;2646.0;34.78;10.42;Mme Nathalie FLEURET;BC-RN;1994.0;26.21;7.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;4;Jarny;26952;20637;6315;314;102;5899;Mme Caroline FIAT;BC-UGE;2889.0;48.97;10.72;Mme Anne FRICQUEGNON;BC-RN;1843.0;31.24;6.84;Mme Emelie BLAISON;BC-UCD;1167.0;19.78;4.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;5;Jarville-la-Malgrange;25700;17520;8180;175;86;7919;M. Luc BINSINGER;BC-UCD;3540.0;44.7;13.77;M. Philippe KOWALSKI;BC-UGE;2366.0;29.88;9.21;Mme Lylou AUBERTIN;BC-RN;1652.0;20.86;6.43;Mme Orianne BARBAUX;BC-EXG;361.0;4.56;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;6;Laxou;18218;11282;6936;128;67;6741;M. Pierre BAUMANN;BC-UGE;2977.0;44.16;16.34;Mme Nathalie ENGEL;BC-UCD;2869.0;42.56;15.75;M. François BERTRAND;BC-RN;895.0;13.28;4.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;7;Longwy;19333;15549;3784;119;60;3605;Mme Sylvie BALON;BC-UGE;1464.0;40.61;7.57;M. Gérard DIDELOT;BC-UCD;1196.0;33.18;6.19;M. Aurélien GERONDI;BC-RN;945.0;26.21;4.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;8;Lunéville-1;23653;16757;6896;171;121;6604;Mme Alexandra HUGO-CAMBOU;BC-UCD;2572.0;38.95;10.87;Mme Marie-Neige HOUCHARD;BC-UGE;1977.0;29.94;8.36;M. Mael MANAI;BC-RN;1844.0;27.92;7.8;Mme Clémentine DASSO;BC-DIV;211.0;3.2;0.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
