Code du département;Libellé du département;Code du canton;Libellé du canton;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp
2;AISNE;1;ANIZY-LE-CHÂTEAU;7466;3925;52.57;3541;47.43;81;1.08;2.29;3460;46.34;97.71;M;ROGER;Benoît;COM;347;4.65;10.03;M;COUNOT;Daniel;DVG;1440;19.29;41.62;M;GADRET;Guénolé;ECO;608;8.14;17.57;M;ROHAT;Nicolas;UMP;372;4.98;10.75;M;JAHRLING;Gerhard;FN;693;9.28;20.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;3;BOHAIN-EN-VERMANDOIS;9831;5067;51.54;4764;48.46;156;1.59;3.27;4608;46.87;96.73;M;BLANDIN;Paul;COM;537;5.46;11.65;M;COLLET;Michel;SOC;2057;20.92;44.64;M;LANDA;William;M;919;9.35;19.94;M;NAIN;José;FN;1095;11.14;23.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;4;BRAINE;8175;4111;50.29;4064;49.71;83;1.02;2.04;3981;48.7;97.96;M;ROBERT;Fabrice;RDG;561;6.86;14.09;M;LEJEUNE;Alain;DVG;270;3.3;6.78;M;RAMPELBERG;François;M;577;7.06;14.49;M;TEMPLIER;Ernest;DVD;1654;20.23;41.55;M;FACCINI;Christophe;FN;919;11.24;23.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;5;LA CAPELLE;6170;3157;51.17;3013;48.83;122;1.98;4.05;2891;46.86;95.95;M;QUEVAL;Bernard;PG;390;6.32;13.49;M;COLPIN;Didier;DVG;204;3.31;7.06;M;MEURA;Frédéric;UMP;1608;26.06;55.62;F;FRECHT;Françoise;FN;689;11.17;23.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;8;CHÂTEAU-THIERRY;19797;10982;55.47;8815;44.53;232;1.17;2.63;8583;43.36;97.37;M;COPIN;Christian;COM;680;3.43;7.92;M;KRABAL;Jacques;RDG;3010;15.2;35.07;M;JOURDAIN;Dominique;VEC;1802;9.1;20.99;F;YONNET;Frédérique;UMP;1212;6.12;14.12;M;PADIEU;Dominique;FN;1879;9.49;21.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;9;CHAUNY;17080;9529;55.79;7551;44.21;169;0.99;2.24;7382;43.22;97.76;M;LANOUILH;Jean-Luc;COM;4542;26.59;61.53;M;KOSCIELNIAK;Jean;UMP;856;5.01;11.6;F;PIETRE;Evelyne;FN;1984;11.62;26.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;12;CRAONNE;4105;1846;44.97;2259;55.03;57;1.39;2.52;2202;53.64;97.48;M;GENTEUR;Noël;DVG;1012;24.65;45.96;M;DAGRY;Gérard;DVG;237;5.77;10.76;M;RAVERDY;Thierry;M;544;13.25;24.7;M;AGOUTIN;Jean-Pierre;FN;409;9.96;18.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;15;FÈRE-EN-TARDENOIS;6537;3289;50.31;3248;49.69;72;1.1;2.22;3176;48.58;97.78;F;POTIN;Marie-Jeanne;PG;452;6.91;14.23;M;LENOBLE;Pierre;SOC;380;5.81;11.96;M;HOUSSEAUX;Gérald;VEC;240;3.67;7.56;F;VASSEUR;Isabelle;UMP;1131;17.3;35.61;F;CHEVET;Mireille;FN;973;14.88;30.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;18;LAON-NORD;10281;5782;56.24;4499;43.76;116;1.13;2.58;4383;42.63;97.42;F;ALLUCHON;Laurianne;COM;350;3.4;7.99;M;KARIMET;Fawaz;SOC;2461;23.94;56.15;M;HAOUASS;Habib;UMP;763;7.42;17.41;M;DE CARPENTIER;Baudouin;FN;809;7.87;18.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;19;MARLE;5301;2176;41.05;3125;58.95;219;4.13;7.01;2906;54.82;92.99;M;BESSE;Patrick;COM;514;9.7;17.69;M;DAUDIGNY;Yves;SOC;1602;30.22;55.13;F;PALVADEAU;Séverine;FN;790;14.9;27.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
