;Département;Code du Canton;Libellé du Canton;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Binôme;Nuance;Voix;%Voix/Exp
6079;79;15;Saint-Maixent-l'Ecole;18054;12340;5714;182;97;5435;M. Patrick CLEMENT;BC-REM;722;13.28
6080;79;16;Thouars;13515;9799;3716;120;73;3523;M. Philippe CHAUVEAU;BC-UCD;980;27.82
6081;79;16;Thouars;13515;9799;3716;120;73;3523;M. Georges EL KHOURGE;BC-REM;663;18.82
6082;79;16;Thouars;13515;9799;3716;120;73;3523;M. Philippe JEANNE;BC-RN;629;17.85
6083;79;16;Thouars;13515;9799;3716;120;73;3523;M. Christian SEGUIN;BC-UG;444;12.6
6084;79;16;Thouars;13515;9799;3716;120;73;3523;M. Axel URBAIN;BC-UG;410;11.64
6085;79;16;Thouars;13515;9799;3716;120;73;3523;M. Kévin LHOMER;BC-DVD;397;11.27
6086;79;17;Le Val de Thouet;17853;11992;5861;224;107;5530;M. Olivier FOUILLET;BC-UCD;2044;36.96
6087;79;17;Le Val de Thouet;17853;11992;5861;224;107;5530;M. Pascal BIRONNEAU;BC-UG;1719;31.08
6088;79;17;Le Val de Thouet;17853;11992;5861;224;107;5530;Mme Laura CANTIN;BC-RN;1241;22.44
6089;79;17;Le Val de Thouet;17853;11992;5861;224;107;5530;M. Maxence DESVALLON;BC-UGE;526;9.51
6090;80;1;Abbeville-1;19328;12527;6801;232;160;6409;M. Angelo TONOLLI;BC-UGE;1953;30.47
6091;80;1;Abbeville-1;19328;12527;6801;232;160;6409;Mme Carole BIZET;BC-UCD;1592;24.84
6092;80;1;Abbeville-1;19328;12527;6801;232;160;6409;M. Michel GAYET;BC-UCD;1549;24.17
6093;80;1;Abbeville-1;19328;12527;6801;232;160;6409;Mme Pascale BRIFFARD;BC-RN;1315;20.52
6094;80;2;Abbeville-2;19266;12032;7234;271;214;6749;M. Stéphane HAUSSOULIER;BC-UCD;3320;49.19
6095;80;2;Abbeville-2;19266;12032;7234;271;214;6749;Mme Chantal LEMAIRE;BC-RN;1775;26.3
6096;80;2;Abbeville-2;19266;12032;7234;271;214;6749;M. Aurélien COUPEL;BC-UGE;1654;24.51
6097;80;3;Ailly-sur-Noye;16405;9539;6866;340;100;6426;M. Pascal BOHIN;BC-UCD;2809;43.71
6098;80;3;Ailly-sur-Noye;16405;9539;6866;340;100;6426;M. Loïc DUBOIS;BC-RN;1408;21.91
6099;80;3;Ailly-sur-Noye;16405;9539;6866;340;100;6426;Mme Céline ALEXANDRE;BC-DVC;1294;20.14
